Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100nF","C_0402_1005Metric",208.090000,-106.520000,0.000000,top
"C2","100nF","C_0402_1005Metric",206.750000,-103.200000,180.000000,top
"C3","1uF","C_0402_1005Metric",213.425000,-109.075000,90.000000,top
"C4","1uF","C_0402_1005Metric",208.750000,-108.400000,90.000000,top
"C5","12pF","C_0402_1005Metric",208.400000,-97.000000,0.000000,top
"C6","12pF","C_0402_1005Metric",208.450000,-101.000000,180.000000,top
"C7","12pF","C_0402_1005Metric",204.575000,-84.875000,0.000000,top
"C8","0.1uF","C_0402_1005Metric",196.300000,-90.300000,0.000000,top
"C9","100nF","C_0402_1005Metric",202.000000,-106.250000,90.000000,top
"C10","0.1uF","C_0402_1005Metric",192.050000,-101.420000,90.000000,top
"C11","0.1uF","C_0402_1005Metric",203.200000,-89.900000,0.000000,top
"C12","1uF","C_0402_1005Metric",218.650000,-102.700000,0.000000,top
"C13","100nF","C_0402_1005Metric",211.600000,-72.800000,180.000000,top
"C14","100nF","C_0402_1005Metric",207.570000,-73.650000,90.000000,top
"C15","1uF","C_0402_1005Metric",208.670000,-73.650000,-90.000000,top
"C16","0.1uF","C_0402_1005Metric",206.800000,-93.500000,-90.000000,top
"D1","Yellow LED","LED_0805_2012Metric",197.000000,-108.800000,0.000000,top
"D2","Yellow LED","LED_0805_2012Metric",197.000000,-106.350000,0.000000,top
"D3","Red LED","LED_0805_2012Metric",232.300000,-94.400000,-90.000000,top
"D4","Red LED","LED_0805_2012Metric",232.300000,-77.200000,-90.000000,top
"D5","Red LED","LED_0805_2012Metric",190.800000,-87.600000,90.000000,top
"R1","10k","R_0402_1005Metric",208.400000,-96.060000,180.000000,top
"R2","5.1k","R_0402_1005Metric",211.000000,-114.050000,0.000000,top
"R3","5.1k","R_0402_1005Metric",211.000000,-115.025000,0.000000,top
"R4","5.1k","R_0402_1005Metric",211.000000,-116.925000,180.000000,top
"R5","5.1k","R_0402_1005Metric",211.000000,-115.975000,180.000000,top
"R6","10k","R_0402_1005Metric",208.470000,-86.280000,0.000000,top
"R7","10k","R_0402_1005Metric",205.380000,-83.750000,180.000000,top
"R8","1.5k","R_0402_1005Metric",201.100000,-109.500000,0.000000,top
"R9","1.5k","R_0402_1005Metric",232.250000,-92.150000,180.000000,top
"R10","1.5k","R_0402_1005Metric",232.290000,-74.800000,0.000000,top
"R11","1.5k","R_0402_1005Metric",190.800000,-89.800000,180.000000,top
"R12","5.1k","R_0402_1005Metric",208.460000,-87.350000,180.000000,top
"R13","5.1k","R_0402_1005Metric",208.470000,-88.630000,180.000000,top
"R14","5.1k","R_0402_1005Metric",208.390000,-93.020000,180.000000,top
"R15","5.1k","R_0402_1005Metric",208.390000,-93.990000,180.000000,top
"R16","1k","R_0402_1005Metric",201.100000,-108.500000,0.000000,top
"R17","1k","R_0402_1005Metric",201.075000,-106.250000,90.000000,top
"R18","10k","R_0402_1005Metric",208.400000,-95.120000,180.000000,top
"REF**","LED_1206_3216Metric","LED_1206_3216Metric",197.150000,-107.800000,90.000000,top
"RN1","47","R_Array_Convex_4x0402",191.700000,-94.850000,180.000000,top
"RN2","47","R_Array_Convex_4x0402",201.000000,-90.050000,90.000000,top
"SW1","SW_DIP_x02","SW_DIP_SPSTx02_Slide_Copal_CHS-02B_W7.62mm_P1.27mm",214.307520,-82.377484,0.000000,top
"SW2","SW_Push","SW_Push_1P1T_NO_Vertical_Wuerth_434133025816",218.650000,-99.350000,-90.000000,top
"SW3","AP_I2C_R","SW_DIP_SPSTx02_Slide_Copal_CHS-02B_W7.62mm_P1.27mm",214.300000,-88.000000,0.000000,top
"SW4","I2CM_R","SW_DIP_SPSTx02_Slide_Copal_CHS-02B_W7.62mm_P1.27mm",214.300000,-93.600000,0.000000,top
"SW5","Boot","SW_Push_1P1T_NO_Vertical_Wuerth_434133025816",212.125000,-99.375000,90.000000,top
"U1","ICM-45686","ICM-45686",211.291682,-74.966464,0.000000,top
"U2","CH32V305RBT6","LQFP-64_10x10mm_P0.5mm",199.475000,-97.850000,180.000000,top
"U3","USBLC6-2SC6","SOT-23-6",204.480000,-107.907500,90.000000,top
"U4","USBLC6-2SC6","SOT-23-6",217.489854,-107.891730,90.000000,top
"U5","CH340X","MSOP-10_3x3mm_P0.5mm",211.100000,-104.200000,180.000000,top
"U6","AP2112K-3.3","SOT-23-5",211.100000,-109.075000,90.000000,top
"Y1","Crystal_GND24","Crystal_SMD_2016-4Pin_2.0x1.6mm",208.400000,-99.000000,90.000000,top
"Y2","Generator 32.768 kHz","Oscillator_SMD_EuroQuartz_XO32-4Pin_3.2x2.5mm",204.550000,-87.350000,180.000000,top
